phrases,concepts
experience spinal headache,experience
daughter with sounds,daughter
ear of jack,ear
lp last august,last
bunch of test,test
hand on the spot,hand
pain in that spot,pain
part of tests,part of
days post lp,days
low pressure headaches,low pressure
original headaches,original
original ones,original
hospital for extreme fatigue,hospital
lot of the stories,lot
several times in order,several
times in order,times
other bed,bed
headache after the spinal tap,headache
right leg from time,right leg
right leg from time to time,right leg
leg from time,leg
leg from time to time,leg
days with a horrible spinal headache,days
horrible spinal headache,spinal headache
nerve symptoms,nerve
stabbing type,stabbing
stabbing type feelings,stabbing
type feelings,type
ct scan of the head,ct scan
scan of the head,scan
concerns on the blood,concerns
concerns on the blood patch,concerns
major vertigo,major
overall numbness,overall
history of headaches,history of
spinal pressure,spinal
spinal pressure headache,spinal
minutes after the procedure,minutes
similar experiene,similar
couple of posts,couple
clear advice,clear
hour after the procedure,hour
iv saline drip,saline
saline drip,saline
paracetamol via a drip,paracetamol
mg of sumatriptan,sumatriptan
aspirin in hospital,aspirin
summer plans,summer
post lumbar headache,post
lumbar headache,lumbar
low bmi,low bmi
side effect of the treatment,side effect
effect of the treatment,effect
wet tap,wet
days after birth,days
numbness in the scalp,numbness
week postpartum,week
week postpartum check,week
postpartum check,postpartum
2nd blood,2nd
2nd blood patch,2nd
minute sleep,minute
lp in august,august
migrane type,type
migrane type headaches,type
type headaches,type
head spin,head
anti-nmda receptor,nmda receptor
blind spinal tap,blind
post spinal tap,post
post spinal tap headache,post
spinal tap headache,spinal tap
tap headache,tap
blood at first sign,blood
blood at first sign of headaches,blood
first sign,first sign
first sign of headaches,first sign
sign of headaches,sign
excruciating headache,excruciating
leak without headache,leak
low csf,low
low csf pressure,low csf pressure
csf pressure,csf pressure
spinal tap as cause,spinal tap
spinal tap as cause of vertigo,spinal tap
tap as cause,tap
tap as cause of vertigo,tap
cause of vertigo,cause
standard blood work,standard
csf leak without headache,csf
successful pregnancy,successful
experience of pregnancy,experience
infliximab infusions,infliximab
many antibodies,many
many antibodies to infliximab,many
antibodies to infliximab,antibodies
experience with this self-injections,experience
pen thingy,pen
leg with a needle,leg
9mg of budesonide,budesonide
less diarrhoea,less
feedback from others,feedback
feedback from others about enema,feedback
others about enema,others
yesterday about enemas,about
process of the enema,process
definition of extreme pain,definition
sort of pains,sort
same pains,same
graphic details,details
mini childbirth,mini
usual treatments,usual
bile malabsorbtion,bile
bile malabsorbtion test,bile
malabsorbtion test,test
bcg injection,bcg
zinc sulfate,zinc sulfate
zinc sulfate help,zinc sulfate
zinc sulfate help with crohn,zinc sulfate
sulfate help,sulfate
sulfate help with crohn,sulfate
help with crohn,help
mg of zinc,zinc
mg of zinc sulfate,zinc sulfate
kind of connection,kind
bit of a gob,bit
bit of a gob full .lol,bit
gob full .lol,full
full .lol,full
test for low albumin,test
low albumin,low albumin
.egg white protien,egg white
.egg white protien shake,egg white
white protien,white
white protien shake,white
protien shake,shake
episodes of recurrent diarrhoea,episodes
recurrent diarrhoea,recurrent
day for days on end,day
days on end,days
longest bouts,longest
longest bouts of symptoms,longest
bouts of symptoms,bouts
day in these periods,day
stool tests for bacteria,stool tests
tests for bacteria,tests
mild inflammation,mild inflammation
major symptoms,major
weeks after colonoscopy,weeks
similar experience of no diarrhoea,similar
experience of no diarrhoea,experience
immune surpresant,immune
regular tests,regular
painful stitch,painful
usual spot,usual
gi team,team
stool culture,stool culture
normal covid,normal
normal covid test,normal
prometheus ibd,ibd
prometheus ibd diagnostic,ibd
ibd diagnostic,ibd
genetic predisposing,genetic
genetic predisposing alleles,genetic
predisposing alleles,predisposing
ct scan at the hospital,ct scan
scan at the hospital,scan
minor mesenteric adenitis,minor
bowel movements per day,bowel movements
movements per day,movements
food in take,food
family history of ibd,family history of
history of ibd,history of
colonoscopy with biopsies,colonoscopy
terminal ileum,terminal ileum
mild chronic non-h,mild
chronic non-h,chronic
pylori gastritis,gastritis
patchy villous,patchy
patchy villous blunting,patchy
villous blunting,villous blunting
intraepithelial lymphocytes,intraepithelial lymphocytes
mild digestive symptoms,mild
digestive symptoms,digestive
lot of coffee,lot
bowel movements in a day,bowel movements
movements in a day,movements
capsule endoscopy,capsule endoscopy
least symptoms,symptoms
inflammation in that part,inflammation
inflammation in that part of the intestine,inflammation
part of the intestine,part of
various complications,various
full colonoscopy,full
large intestine,large intestine
small bowel,small bowel
sort of symptoms others,sort
symptoms others,symptoms
plan of action,plan
fistula's fair day,fistula
fistula's fair day to day,fistula
fistula's fair day to day year,fistula
fistula's fair day to day year to year,fistula
fair day,fair
fair day to day,fair
fair day to day year,fair
fair day to day year to year,fair
day to day year,day
day to day year to year,day
day year,day year
day year to year,day year
year to year,year
ibs for years,ibs
same year,same
perennial abscess,abscess
fistulas with setons,fistulas
pause on stelara,pause
little drainage,little
fistula area,fistula
alot in the past,in the past
horror warnings,warnings
abdo pains,pains
number of xrays,number
complete blockages,complete
ibd nurse,ibd
ibd team,ibd
top gastroenterologist,top
remission for decades,remission
daily race,daily
daily race walker,daily
race walker,race
serious heart attack,serious
tremendous energy,energy
hand in hand with crohn's,hand
hand with crohn's,hand
great traditional chinese medicine,great
great traditional chinese medicine md,great
traditional chinese medicine md,traditional chinese medicine
chinese medicine md,chinese medicine
medicine md,medicine
much neck,much
other natural type,natural
other natural type pain,natural
other natural type pain relievers,natural
natural type,natural
natural type pain,natural
natural type pain relievers,natural
type pain relievers,type
tons of supplements,tons
loose stool,loose stool
loose stool for a few weeks,loose stool
stool for a few weeks,stool
colour size,size
ish mucus,ish
same spot in the stool,same
spot in the stool,spot
usual flatulence,usual
non-digestive problems,non
red veins in the white,red
red veins in the white of the eye,red
veins in the white,veins
veins in the white of the eye,veins
white of the eye,white
big pain,big
fruit with peel,fruit
problem with dairy,problem
problem with dairy products,problem
high levels of inflammation,high
levels of inflammation,levels
urgent colonoscopy,urgent
letter today,letter
letter today for an outpatients,letter
letter today for an outpatients consultation,letter
today for an outpatients,today
today for an outpatients consultation,today
today for an outpatients consultation with a gastroenterologist,today
outpatients consultation,outpatients
outpatients consultation with a gastroenterologist,outpatients
outpatients consultation with a gastroenterologist on 15th july,outpatients
consultation with a gastroenterologist,consultation
consultation with a gastroenterologist on 15th july,consultation
gastroenterologist on 15th july,gastroenterologist
15th july,july
fibre gel,fibre
fibre gel before bed,fibre
gel before bed,gel
daily normal movements,daily
daily normal movements for the past few weeks,daily
normal movements for the past few weeks,normal
movements for the past few weeks,movements
yellow mucas,yellow
mucas with a normal movement,with
hemorrhoids to the point,hemorrhoids
external piles,external piles
usual symptoms of ibd,usual
symptoms of ibd,symptoms
consultation before a colonoscopy,consultation
ibd with these symptoms,ibd
years of bouts,years
years of bouts of severe diarrhea,years
bouts of severe diarrhea,bouts
certain causes,certain
month history,month
fatty foul smelling,smelling
fatty foul smelling stool,foul smelling stool
fatty foul smelling stool with undigested foods,foul smelling stool
foul smelling stool,foul smelling stool
foul smelling stool with undigested foods,foul smelling stool
smelling stool,smelling
smelling stool with undigested foods,smelling
stool with undigested foods,stool
undigested foods,foods
abdominal x-ray,abdominal x-ray
barium x-ray,barium
upcoming weeks,weeks
regards to the symptoms,symptoms
gallbladder disorders,gallbladder disorders
similar onset,similar
similar onset of symptoms,similar
similar onset of symptoms with ibd,similar
onset of symptoms,onset of
onset of symptoms with ibd,onset of
symptoms with ibd,symptoms
recurrent runs,recurrent
pure water,pure
blowout after a couple,after
blowout after a couple hours,after
blowout after a couple hours of bad cramps,after
couple hours of bad cramps,couple
hours of bad cramps,hours
week for a month,week
months with minor cramps,months
