concepts|phrases
Heavy feeling|Arms feel HEAVY
Numbness of hand|hands are somewhat numb
Paraesthesia of hand|hands are tingling
Difficulty gripping|trouble holding on to things
Lipitor|Lipitor
Lipitor|Lipitor
Muscle weakness|Weak muscles
White blood cell count abnormal|Elevated white blood cell count (very high)
Diabetes mellitus|diabetic
Lipitor|lipitor
Lipitor|Lipitor
Lipitor|Lipitor
Lipitor|Lipitor
Pins and needles|fingers and toes were tingling
Pins and needles|pins and needles feeling
Pins and needles|tingling
Lipitor|Lipitor
Tremor|tremors although the body
Paraesthesia|tingles although the body
Depression|Deep depression
Insomnia|insomnia
Stiff limbs|joint stiffness in feet
Hand joint stiff|joint stiffness in hands
Unable to think clearly|inability to think clearly
Tired|tired
Asthenia|weak
Generalised aches and pains|pains all over body
Feeling intoxicated|groggy
Lightheadedness|light headed
Lipitor|Lipitor
Severe dehydration|extreme dehydration
Dry eyes|extremely dry eyes
Abrasion of eye region|eyes microabrasions on
Dry eyes|eyes are so dry
Constipation|constipated
Constipation|constipation
Dry eyes|dry eyes
Lipitor|Lipitor
Fatigue|unexplained fatigue
Lack of energy|no energy all day
Lipitor|Lipitor
Lipitor|Lipitor
Poor short-term memory|short term memory loss
Cough|unexplained cough
Generalised aches and pains|Aches and pain from head to toe
Feeling irritable|very grouchy
Pain|pains so bad
Paraesthesia of foot|Toe tinglingling
Numbness of toe|numbness in toes
Mentally dull|feel like I am in a fog
Memory impairment|memory impaired
Loss of hair|hair loss
Headache|low grade headache
Visual impairment|vision impaired
Pain in calf|calf pain
Lipitor|Lipitor
Myopathy|irreversible muscle damage
Arthralgia|painfull stiff joints
Pins and needles|pins and needles on right arm
Lipitor|lipitor
Headache|headaches
Lipitor|Lipitor
Headache|headaches
Cramp in lower limb|leg cramps
Muscle cramp|cramps
Stomach ache|stomach discomfort
Myalgia|muscle aches and pains
Feeling irritable|a lot grouchier
Asthenia|extreme fatigue
Dyspnoea|shortness of breath
Lipitor|Lipitor
Atacand|Atacand
Finding of increased blood pressure|high blood pressure
Fatigue|fatigue
Dyspnoea|shortness of breath
Amnesia|memory loss
Transient memory loss|transient amnesia
Severe pain|severe shoulder pain
Knee pain|knee pain
Insomnia|insomnia
Fatigue|extreme tiredness
Drowsy|hard to stay awake
Excruciating pain|crippling back pain
Depression|depression
Unable to balance|loss of balance
Pravachol|Pravachol
Zocor|Zocor
Lipitor|Lipitor
Lipitor|Lipitor
Lipitor|Lipitor
Degeneration of intervertebral disc|degenerative back disease
Lipitor|Lipitor
Pravachol|Pravachol
Foot pain|feel achy
Muscle fatigue|muscle fatigue
Amnesia|memory loss
Blurred vision - hazy|Blury vision
Poor balance|bad balance
Increased cholesterol esters|High Cholesterol
Plantar fasciitis|sore feet (Faciitis)
Aptyalism|dry mouth
Loss of hair|hair falling out
Polyarthritis associated with another disorder|autoimmune polyarthritis
Lipitor|Lipitor
Hand pain|Hands sore
Lipitor|Lipitor
Fatigue|fatigue
Arthralgia|pain in my joints
Knee pain|joint pain (knees)
Hives|painfull welts on bottom of feet
Zocor|Zocor
Dizziness|dizziness
Pravachol|Pravachol
ezetimibe|Zetia
Arthralgia|mild joint pain
Lipitor|Lipitor
Joint injury|permanent joint damage
Lipitor|Lipitor
Lipitor|Lipitor
Unable to balance|Loss of balance
Speech impairment|loss of speech
Transient ischaemic attack|TIA's
Lipitor|Liptor
Feeling tired|feeling extremely tired
Cramp in lower limb|leg cramps
Cramp in foot|foot cramps
Cramp in lower limb|leg cramps
Lipitor|Lipitor
Muscle fatigue|legs began feeling very tired
Unable to climb stairs|couldn't go up stairs easily
Cramp in lower limb|cramping events in my legs
Lipitor|Lipitor
Pain in lower limb|legs were hurting too much
Muscle cramp|cramping
Muscle cramp|cramping
Muscle fatigue|legs are very weak
Lipitor|Lipitor
Crestor|Crestor
Neck pain|neck pain
Spasm of back muscles|back spasms
Mentally dull|foggy thinking
Insomnia|insomnia
omega-3-acid ethyl esters-90|omega 3
Tired|tired
Muscle cramp|muscle cramps
Ill-at-ease|uneasiness
ezetimibe|ZETIA
Liver disease|liver disease
Lipitor|Lipitor
Liver disease|liver damage
Lipitor|Lipitor
Lipitor|Lipitor
Lipitor|Lipitor
Cramp in lower limb|leg cramps
Confusion|mental confusion
Amnesia|Memory Loss
Myalgia|sore muscles
Amnesia|memory loss
Insomnia|insomnia
Hip pain|Joint pain in the hips
Knee pain|Joint pain in the knees
Shoulder pain|Pain in the shoulders
Pins and needles|tingling sensation in the back of my neck
Tinnitus|Tinnitus
Muscle weakness|Weak muscles
Lipitor|Lipitor
Pain in lower limb|legs ache
Shoulder pain|shoulders ache
Hip pain|hips ache
Pain in lower limb|acute pain in the legs
Stiffness|Stiffness
Difficulty getting off a bed|Getting out of bed is painful
Pins and needles|tingling in the neck
Pain in lower limb|leg pain
Shoulder pain|shoulder pain
Non-smoker|don't smoke
Drinks wine|drink wine in moderation
Serum cholesterol raised|elevated levels of high cholesterol
Injury of muscle|muscle damage
Pain in lower limb|leg pains
Impairment of balance|balance off
Low back pain|back pain Lower
Thoracic back pain|back pain upper
Pins and needles|finger pins and needles
Mentally vague|brain vague
Stomach ache|stomach pain
Palpitations|palpitations
Feeling unhappy|feeling desperately miserable
Pain in lower limb|leg pain
Backache|back pain
Shoulder pain|Pain in shoulders joints
Arthritis|arthritis
Bursitis|bursitus
Lipitor|Lipitor
Pain in lower limb|pain in legs
Foot pain|pain in feet
Cramp in lower limb|terrible leg cramps
Difficulty sleeping|difficulty sleeping
Headache|headaches
Fatigue|fatigue
Reduced libido|Sex drive has decreased
Severe pain|Severe pain in my calf muscles
Crestor|Crestor
Zocor|Zochor
Severe pain|pain was too severe
Walking disability|could not even walk in the morning
Muscle cramp|cramps
Rupture of tendon of lower leg and ankle|tore a tendon in my ankle
Tear of meniscus of knee|tore my knee
Pain|pain
Lipitor|Lipitor
Myalgia|muscle pain
Forgetful|extreme forgetfulness
Severe pain|extreme muscle pain
Insomnia|insomnia
Tremor|tremors
Cluster headache|cluster headaches
Renal pain|kidney pain
Unable to walk|unable to walk
Cannot sleep at all|unable to sleep
Kidney disease|kidney problems
Urine: dark/concentrated|urine like root beer
Unable to think clearly|inability to think fast enough
Unable to find words|Couldn't find words
Disorientated|got lost on way
Myalgia|muscle pain
Fatigue|fatigue
Fatigue|fatigue
Pain|pain
Arthritis|sever arthritic condition
Crestor|crestor
Mild pain|mild pain
Pain in toe|Toes became so painful
Neuropathy of lower limb|leg neuropathy
Lipitor|Lipitor
Lipitor|Lipitor
Malignant neoplasm of brain|brain cancer
Malignant neoplasm of brain|brain cancer (glial cell related cancer)
Malignant neoplastic disease|cancer
Lipitor|Lipitor
Malignant neoplastic disease|cancer
Lipitor|Lipitor
Lipitor|Lipitor
Malignant neoplasm of brain|brain cancer
Injury of nervous system|neurological damage
Malignant neoplasm of brain|brain cancer
Bed-ridden|bedridden
Unable to feed self|unable to feed himself
Unable to speak|unable to speak
Pain in lower limb|Leg pains
Amnesia|loss of memory
Difficulty sleeping|sleep loss
Pain in lower limb|leg pain
Amnesia|loss of memory
Reduced libido|loss of libido
Sleep deprivation|lack of sleep
Fatigue|Extreme tiredness
Dizziness|dizziness
Amnesia|memory loss
Moody|moody
Backache|muscle pain in back
Insomnia|insomnia
Intercostal myalgia|muscles on the sides of my back were constantly painful
Cannot sleep at all|could not sleep
melatonin|melatonin
Myalgia|Muscle pains
Arthralgia|joint pains
Excessive upper gastrointestinal gas|gastric upsets
Insomnia|insomnia
Amnesia|memory loss
Anxiety|anxiety
Adhesive capsulitis of shoulder|frozen shoulder
Lipitor|lipitor
Increased cholesterol esters|high cholesteral
Disorder of foot|problems with feet
Pins and needles|Tingly hands
Myalgia|terrible musche aches
Facial swelling|face looks puffy
Eye pain|eyes hurt
Swollen knee|Swollen knees
Elbow joint swelling|Swollen elbows
Elbow stiff|stiff elbows
Knee stiff|stiff knees
Mental distress|mental distress
Lipitor|Lipitor
Knee stiff|knees stiff
Knee pain|knees sore
Elbow stiff|elbows stiff
Pain in elbow|elbows sore
Repetitive strain injury|Repetitive stress syndrome
Arthritis|arthritis
Lipitor|lipitor
Joint stiffness|stiff joints
Stiffness|stiffness
Stiffness|stiffness
Lipitor|lipitor
Joint swelling|swollen joints
Myalgia|Sore muscles
Joint stiffness|stiff swollen joints
Dementia|dementia
Pain in lower limb|pain in my legs
Loss of sense of smell|loss of sense of smell
Increased appetite|increase appetite
Headache|headaches
Asthenia|extreme fatigued
Paraesthesia of lower extremity|tingling in my legs
Pins and needles|tingling in my arms
Dizziness|Dizziness
Falls|falls
Memory impairment|poor memory
Fine motor impairment|loss of fine motor skills
Stiff legs|stiffness in legs
Foot pain|sore feet
Falls|falls
Lipitor|lipitor
Lipitor|Lipitor
Headache|headache
Insomnia|insomnia
Hip pain|sore hip(tightIT band)
Depression|depression
Respiratory tract congestion|Congestion
Cough|cough
Burning sensation|elbows burning
Heel pain|right heel pain
Unable to concentrate|loss of concentration
Respiratory tract congestion|congestion with clear phlem
Allergic condition|allergies
Burning sensation|elbows would burn like fire
Problem of visual accommodation|trouble focusing while reading
Heel pain|right heel became painful
Respiratory tract congestion|congestion
Lipitor|Lipitor
Respiratory tract congestion|congestion
Diabetes mellitus|adiabetic
Cerebrovascular accident|stroke
Myocardial infarction|heart attack
Lipitor|Lipitor
Severe depression|severe depression
Anxiety attack|intense anxiety attacks
Depression|intense depression
Myalgia|muscle aches in legs
Myalgia/myositis - lower leg|muscle pain in legs
Fatigue|Fatigue
Myalgia|muscle pain
Arthralgia|joint pain
Poor short-term memory|short term memory loss
Blistering rash|blisterey rash on my arms
Blistering rash|blisterey rash on my legs
Blurring of visual image|vision became blurry
Lipitor|Lipitor
simvastatin|Simivastatin
Severe pain|Severe foot pain
Severe pain|Severe leg pain
Asthenia|weakness
Cramp in lower limb|muscle cramps in legs
Cramp in foot|muscle cramps in feet
Cramp in limb|muscle cramps in arms
Spasm of back muscles|muscle cramps in ribs
Facial spasm|muscle cramps in face
Lipitor|Lipitor
Myopathy|muscle problems
Severe pain|severe pain muscles
Severe pain|severe pain legs
Muscle weakness|weakness in muscles
Weakness of limb|weakness in legs
Difficulty walking up stairs|can barely make it up one flight of stairs
Rupture tendon thigh|Torn ham string
Pain in lower limb|pain in both legs
Walking disability|could hardly walk
Pain|pain
Myalgia|muscle pain
Poor short-term memory|Short term memory affected
Unable to concentrate|loss of concentration levels
Dizziness|Dizzy
Moderate anxiety|hightened Anxiety Levels
Excessive upper gastrointestinal gas|generaly feeling unwell like walking in a daze (Zombie like)
Weakness of limb|Weakness in Leg Muscles
Lipitor|Lipitor
Mentally dull|Brain fog
Impaired cognition|decreased cognitive skills
Mentally dull|brain fog
Anxiety|anxiety issues
Lipitor|Lipitor
Lipitor|liptor
Muscle atrophy|muscle wasting in the shoulders
Muscle atrophy|muscle wasting in the arms
Neuropathy|nerve problems in shoulder
Fatigue|fatigue
Intolerant of cold|very sensative to the cold
fish oil natural|fish oil
ubidecarenone|coenzyme10
ascorbic acid|vit c
Lipitor|lipitor
ramipril|ramipril
metoprolol|metoptolol
Gout|gout
Lipitor|Lipitor
Pins and needles|tingling in my feet
Pins and needles|tingling in my shins
Numbness of foot|numbness in my feet
Numbness of lower limb|numbness in my shins
Pain in toe|my toes ached
Foot pain|my feet hurt
simvastatin|simvastatin
pravastatin|provastatin
Insomnia|can't even sleep at night
Paraesthesia of lower extremity|sensations of tingling in my legs
Paraesthesia of foot|sensations of tingling in my feet
Pain in toe|pain in their toes
Foot pain|pain in their feet
Pain in lower limb|pain in their shins
Generalised aches and pains|Aches and pains
Difficulty breathing|breathing difficulties
Panic attack|panic attacks
Lack of stamina|stength and stamina destroyed
Palpitations|palpatations
Paraesthesia of hand|strong tingling in one hand
Tinnitus|tinititis
Otalgia|ear aches
Zoloft|zorloft
Depression|depression
Anxiety|anxiety
Noten|noten
Palpitations|heart palpatations
Upset stomach|seriously upset my stomach
Lipitor|Lipitor
Walking disability|struggling walking too far
Lipitor|lipitor
Lipitor|lipitor
Noten|noten
Zoloft|zorloft
ascorbic acid|VitC
ubidecarenone|CoQ10
omega-3-acid ethyl esters-90|omega 3
Cough|unexplained cough
Cough|cough
Cough|cough
Lipitor|Lipitor
Cough|cough heavily
Arthralgia|Pain in joints
Myalgia|Pain in muscles
Knee pain|Pain in knees
Ankle pain|Pain in ankles
Foot pain|Pain in feet
Shoulder pain|Pain in shoulders
Pain in elbow|Pain in elbows
Pain in wrist|Pain in wrist
Unable to climb stairs|Unable to even climb 1 flight of stairs
Weight gain|Weight gain
Pain|pain
Headache|Headaches
Fatigue|fatigue
Confusion|confusion
Amnesia|memory loss
Flatulence/wind|Uncontrollable gas
Diarrhoea|diarrhea
Burning epigastric pain|burning in my stomach
Pain|pain
Erectile dysfunction|impotence
Myalgia|Muscule pain
Numbness of lower limb|numb leg
Chest pain|chest pain
Shoulder pain|painful shoulder
Advil|Advil
Wrist joint pain|joint pain in wrist
Pain|pain
Knee pain|knee pain
Voltaren|voltaren
Advil|Advil
Excessive upper gastrointestinal gas|gastro effects
Renal pain|kidney pain
Hypertension|elevated BP
Tachycardia|my heart rate jumped to 106
Anxiety|anxiety
Myocardial infarction|heart attack
Cerebrovascular accident|stroke
Pain|pain
Difficulty breathing|hard to breathe
Feeling unhappy|sadness
Tiredness symptom|tiredness
Loss of interest|wanting to quit everything and give up
Solaraze|solaraze
Eczema|eczema
Dizziness|dizziness
Vertigo|vertigo
Taste sense altered|altered taste
Excessive upper gastrointestinal gas|gas
Traumatic blister of mouth|blisters in my mouth
Scalp itchy|itchy scalp
Vertigo|vertigo
Mobic|mobic
tramadol|ultram
Drowsy|drowsy
Pain|aches
Backache|pains back
Stomach ache|stomach discomfort
Voltaren|voltaren
Gout|gout
Finding of increased blood pressure|rise in bp
Dizziness|dizzy
Drowsy|sleepy
Pain|pain
Rash|rash
Dizziness|dizziness
Abdominal bloating|bloated stomach
Excessive upper gastrointestinal gas|gas
Muscle weakness|muscle weakness
Renal pain|kidney pain
Asthenia|weakness
Rash|rash
Stomach ache|stomach discomfort
Diarrhoea|Diarreha
Muscle cramp|cramps
Excessive upper gastrointestinal gas|gas
Bloating symptom|bloating
Pain|pain
Diarrhoea|diarreha
Knee pain|kneejoin paint
Voltaren|Voltaren-XR
Low back pain|lower back pain
Bleeding|bleeding
Ulceration of colon|ulcer lower bowel
Psychotic disorder|Psychosis
Upset stomach|stomach upset
Tremor|shaking
Bipolar disorder|bi-polar
Stomach problem|recurrent stomach problems
Seroquel|seroquel
Bipolar disorder|bi-polar
ibuprofen|ibuprofen
Cerebrovascular accident|strokes
Myocardial infarction|heart attacks
Upset stomach|upset stomach
aspirin|Asprin
Voltaren|Voltaren
Nonspecific abdominal symptom|extreme abdominal issues
Diarrhoea|diarrhea
Chest discomfort|chest discomfort
Abdominal pressure|abdominal pressure
Excessive upper gastrointestinal gas|GERD
omeprazole|prilosec
Voltaren|Voltaren
Tired|tired
Voltaren|Voltaren
Cerebrovascular accident|stroke
Blood clot in eye|blood clots that traveled to my eye
Voltaren|voltaren
Backache|back pain
Tylenol|tylonol
Upset stomach|stomach upset
Haematochezia|blood in bowel movements
Bloating symptom|bloating
Joint laxity|more limber Limbs and joints
Inflammatory disorder|inflamation
Heartburn|Heartburn
Upset stomach|stomach upset
Pain|pain
Voltaren Emulgel|Voltaren Gel
Feeling agitated|agitated
Insomnia|insomnia
Muscle tension|hideously increased muscle tension
